err.hat,errxy,n,p,prop,err,strat
0.5,0.47655,10,10,0.5,0.4618155,sdt
0.5,0.4014,10,10,0.5,0.4618155,sdt
0.5,0.5088,10,10,0.5,0.4618155,sdt
1,0.4292,10,10,0.5,0.4618155,sdt
0.25,0.4492,10,10,0.5,0.4618155,sdt
0.25,0.37185,10,10,0.5,0.4618155,sdt
0.25,0.4104,10,10,0.5,0.4618155,sdt
0.5,0.43205,10,10,0.5,0.4618155,sdt
0.5,0.5513,10,10,0.5,0.4618155,sdt
0,0.4277,10,10,0.5,0.4618155,sdt
0.25,0.4143,10,10,0.5,0.4618155,sdt
0.5,0.5091,10,10,0.5,0.4618155,sdt
0.25,0.47655,10,10,0.5,0.4618155,sdt
0.25,0.44735,10,10,0.5,0.4618155,sdt
0.75,0.43395,10,10,0.5,0.4618155,sdt
0.25,0.4897,10,10,0.5,0.4618155,sdt
0.25,0.4801,10,10,0.5,0.4618155,sdt
0.5,0.44525,10,10,0.5,0.4618155,sdt
0.5,0.5401,10,10,0.5,0.4618155,sdt
0,0.4116,10,10,0.5,0.4618155,sdt
0.5,0.44495,10,10,0.5,0.4618155,sdt
0.25,0.45685,10,10,0.5,0.4618155,sdt
0.25,0.4627,10,10,0.5,0.4618155,sdt
0.25,0.4543,10,10,0.5,0.4618155,sdt
0,0.45255,10,10,0.5,0.4618155,sdt
0.5,0.48235,10,10,0.5,0.4618155,sdt
0.5,0.4576,10,10,0.5,0.4618155,sdt
0.5,0.47615,10,10,0.5,0.4618155,sdt
0.5,0.5232,10,10,0.5,0.4618155,sdt
0.5,0.37285,10,10,0.5,0.4618155,sdt
0.5,0.39585,10,10,0.5,0.4618155,sdt
0.5,0.4623,10,10,0.5,0.4618155,sdt
0.25,0.43415,10,10,0.5,0.4618155,sdt
0.75,0.4572,10,10,0.5,0.4618155,sdt
0.5,0.4374,10,10,0.5,0.4618155,sdt
0.25,0.4884,10,10,0.5,0.4618155,sdt
0.5,0.3896,10,10,0.5,0.4618155,sdt
0.5,0.39985,10,10,0.5,0.4618155,sdt
0.25,0.4194,10,10,0.5,0.4618155,sdt
0.25,0.43075,10,10,0.5,0.4618155,sdt
0.75,0.5312,10,10,0.5,0.4618155,sdt
0.25,0.4753,10,10,0.5,0.4618155,sdt
0.75,0.5187,10,10,0.5,0.4618155,sdt
0.5,0.50165,10,10,0.5,0.4618155,sdt
0.5,0.47385,10,10,0.5,0.4618155,sdt
0.25,0.4387,10,10,0.5,0.4618155,sdt
0.25,0.49615,10,10,0.5,0.4618155,sdt
0.25,0.4009,10,10,0.5,0.4618155,sdt
0.5,0.4422,10,10,0.5,0.4618155,sdt
0.75,0.46075,10,10,0.5,0.4618155,sdt
0.25,0.3963,10,10,0.5,0.4618155,sdt
0.75,0.3843,10,10,0.5,0.4618155,sdt
0,0.3883,10,10,0.5,0.4618155,sdt
1,0.48765,10,10,0.5,0.4618155,sdt
0.25,0.41525,10,10,0.5,0.4618155,sdt
0.25,0.4926,10,10,0.5,0.4618155,sdt
