err.hat,errxy,n,p,prop,err,strat
0.4,0.40765,10,10,0.5,0.4339763,fdo
0.6,0.4945,10,10,0.5,0.4339763,fdo
0.6,0.527,10,10,0.5,0.4339763,fdo
0.6,0.52065,10,10,0.5,0.4339763,fdo
0.5,0.4335,10,10,0.5,0.4339763,fdo
0.5,0.4525,10,10,0.5,0.4339763,fdo
0.6,0.43605,10,10,0.5,0.4339763,fdo
0.7,0.4451,10,10,0.5,0.4339763,fdo
1,0.40925,10,10,0.5,0.4339763,fdo
0.7,0.4651,10,10,0.5,0.4339763,fdo
0.6,0.40925,10,10,0.5,0.4339763,fdo
0.7,0.4375,10,10,0.5,0.4339763,fdo
0.8,0.3955,10,10,0.5,0.4339763,fdo
0.5,0.4341,10,10,0.5,0.4339763,fdo
0.7,0.5213,10,10,0.5,0.4339763,fdo
0.7,0.41155,10,10,0.5,0.4339763,fdo
0.7,0.46035,10,10,0.5,0.4339763,fdo
0.6,0.414,10,10,0.5,0.4339763,fdo
0.3,0.4846,10,10,0.5,0.4339763,fdo
0.1,0.4637,10,10,0.5,0.4339763,fdo
0.4,0.3895,10,10,0.5,0.4339763,fdo
0.5,0.39255,10,10,0.5,0.4339763,fdo
0.8,0.4525,10,10,0.5,0.4339763,fdo
0.8,0.5255,10,10,0.5,0.4339763,fdo
0.5,0.5046,10,10,0.5,0.4339763,fdo
0.7,0.3605,10,10,0.5,0.4339763,fdo
0.7,0.3819,10,10,0.5,0.4339763,fdo
0.5,0.414,10,10,0.5,0.4339763,fdo
0.4,0.3659,10,10,0.5,0.4339763,fdo
0.7,0.4133,10,10,0.5,0.4339763,fdo
0.2,0.4714,10,10,0.5,0.4339763,fdo
0.7,0.44705,10,10,0.5,0.4339763,fdo
0.9,0.4651,10,10,0.5,0.4339763,fdo
0.8,0.42355,10,10,0.5,0.4339763,fdo
0.9,0.43945,10,10,0.5,0.4339763,fdo
0.7,0.40515,10,10,0.5,0.4339763,fdo
0.2,0.3955,10,10,0.5,0.4339763,fdo
0.3,0.3819,10,10,0.5,0.4339763,fdo
0.3,0.5038,10,10,0.5,0.4339763,fdo
0.4,0.4714,10,10,0.5,0.4339763,fdo
0.6,0.39765,10,10,0.5,0.4339763,fdo
0.6,0.36505,10,10,0.5,0.4339763,fdo
