"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"65",0.26,0.28,0.24,0.10325,0.127639605818864,0.0705,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"66",0.3,0.28,0.32,0.1584,0.189002184996358,0.1092,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"67",0.18,0.2,0.16,0.1442,0.137234910277325,0.1538,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"68",0.1,0.08,0.12,0.15285,0.161482203803023,0.1401,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"69",0.36,0.4,0.32,0.1634,0.161300060374321,0.1665,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"70",0.32,0.28,0.36,0.16325,0.199357200249978,0.1032,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"71",0.22,0.16,0.28,0.11295,0.103229113275243,0.1252,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"72",0.3,0.24,0.36,0.11405,0.0961598828084127,0.1362,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"73",0.34,0.2,0.48,0.15565,0.182714456832212,0.113,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"74",0.36,0.24,0.48,0.1203,0.137898149914171,0.096,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"75",0.3,0.32,0.28,0.15015,0.153990703194541,0.1446,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"76",0.16,0.16,0.16,0.13825,0.151593951651738,0.1191,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"77",0.14,0.16,0.12,0.1246,0.072047423620611,0.186,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"78",0.16,0.12,0.2,0.1475,0.125557680050988,0.1768,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"79",0.32,0.4,0.24,0.14285,0.1434561245882,0.142,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"80",0.18,0.24,0.12,0.13715,0.136386411464075,0.1382,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"81",0.32,0.2,0.44,0.1269,0.14145685181626,0.1066,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"82",0.12,0.16,0.08,0.0894,0.0720241817802793,0.1097,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"83",0.26,0.24,0.28,0.1266,0.125100401606426,0.1286,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"84",0.34,0.36,0.32,0.1185,0.1392776096823,0.0897,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"85",0.26,0.32,0.2,0.0954,0.105806703039751,0.0822,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"86",0.12,0.12,0.12,0.12735,0.146542729773309,0.1002,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"87",0.26,0.24,0.28,0.13655,0.141249629848978,0.13,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"88",0.34,0.28,0.4,0.11755,0.130804131672941,0.0996,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"89",0.42,0.36,0.48,0.2309,0.206415012000873,0.2726,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"90",0.36,0.44,0.28,0.1775,0.183761521867033,0.1676,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"91",0.26,0.24,0.28,0.10555,0.106612147202553,0.1042,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"92",0.14,0.16,0.12,0.11495,0.101521266687364,0.1318,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"93",0.24,0.4,0.08,0.1337,0.121903385631709,0.1493,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"94",0.24,0.32,0.16,0.1135,0.0931578947368421,0.1385,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"95",0.2,0.24,0.16,0.13625,0.158931082981716,0.103,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"96",0.22,0.36,0.08,0.1229,0.111877315767806,0.1371,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"97",0.26,0.32,0.2,0.14475,0.116981132075472,0.181,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"98",0.2,0.12,0.28,0.09645,0.110961149137183,0.0778,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"99",0.18,0.24,0.12,0.09375,0.122759773423716,0.0553,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"100",0.26,0.16,0.36,0.14245,0.170551921127799,0.0998,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"101",0.26,0.32,0.2,0.14035,0.145210614580251,0.1335,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"102",0.2,0.2,0.2,0.1351,0.137420508744038,0.1319,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
