err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.125,0.2613,10,10,0.5,0.75,76,0.09509355882352948
0.4375,0.21015,10,10,0.5,0.75,77,0.09509355882352948
0.29166666666666674,0.1864,10,10,0.5,0.75,78,0.09509355882352948
0.1875,0.1894,10,10,0.5,0.75,79,0.09509355882352948
0.1875,0.277,10,10,0.5,0.75,80,0.09509355882352948
0,0.3088,10,10,0.5,0.75,81,0.09509355882352948
0.29166666666666674,0.3156,10,10,0.5,0.75,82,0.09509355882352948
0.20833333333333337,0.2512,10,10,0.5,0.75,83,0.09509355882352948
0.29166666666666674,0.2395,10,10,0.5,0.75,84,0.09509355882352948
0.5,0.23565,10,10,0.5,0.75,85,0.09509355882352948
0,0.22415,10,10,0.5,0.75,86,0.09509355882352948
0.375,0.3402,10,10,0.5,0.75,87,0.09509355882352948
0.5,0.23095,10,10,0.5,0.75,88,0.09509355882352948
0.125,0.3299,10,10,0.5,0.75,89,0.09509355882352948
0.20833333333333337,0.32195,10,10,0.5,0.75,90,0.09509355882352948
0.29166666666666674,0.24115,10,10,0.5,0.75,91,0.09509355882352948
0.5,0.2339,10,10,0.5,0.75,92,0.09509355882352948
0.33333333333333337,0.30995,10,10,0.5,0.75,93,0.09509355882352948
0.29166666666666674,0.2783,10,10,0.5,0.75,94,0.09509355882352948
0.33333333333333337,0.21255,10,10,0.5,0.75,95,0.09509355882352948
0.41666666666666674,0.25865,10,10,0.5,0.75,96,0.09509355882352948
0.16666666666666674,0.3459,10,10,0.5,0.75,97,0.09509355882352948
0.20833333333333337,0.2211,10,10,0.5,0.75,98,0.09509355882352948
0.08333333333333337,0.2668,10,10,0.5,0.75,99,0.09509355882352948
0.29166666666666674,0.23475,10,10,0.5,0.75,100,0.09509355882352948
0.16666666666666663,0.26785,25,10,0.5,0.75,1,0.09509355882352948
0.29166666666666663,0.1913,25,10,0.5,0.75,2,0.09509355882352948
0.16666666666666663,0.22415,25,10,0.5,0.75,3,0.09509355882352948
0.04166666666666663,0.22875,25,10,0.5,0.75,4,0.09509355882352948
0.20833333333333337,0.2271,25,10,0.5,0.75,5,0.09509355882352948
0.29166666666666663,0.24415,25,10,0.5,0.75,6,0.09509355882352948
0.2500000000000001,0.19615,25,10,0.5,0.75,7,0.09509355882352948
0.25,0.1968,25,10,0.5,0.75,8,0.09509355882352948
0.41666666666666674,0.17015,25,10,0.5,0.75,9,0.09509355882352948
0.20833333333333337,0.22635,25,10,0.5,0.75,10,0.09509355882352948
0.20833333333333337,0.20875,25,10,0.5,0.75,11,0.09509355882352948
0.20833333333333337,0.23215,25,10,0.5,0.75,12,0.09509355882352948
0.20833333333333337,0.17605,25,10,0.5,0.75,13,0.09509355882352948
0.33333333333333326,0.2103,25,10,0.5,0.75,14,0.09509355882352948
0.20833333333333337,0.2239,25,10,0.5,0.75,15,0.09509355882352948
0.29166666666666663,0.22005,25,10,0.5,0.75,16,0.09509355882352948
0.25,0.18805,25,10,0.5,0.75,17,0.09509355882352948
0.125,0.2432,25,10,0.5,0.75,18,0.09509355882352948
0.16666666666666663,0.24445,25,10,0.5,0.75,19,0.09509355882352948
0.33333333333333326,0.18395,25,10,0.5,0.75,20,0.09509355882352948
0.25,0.2335,25,10,0.5,0.75,21,0.09509355882352948
0.45833333333333337,0.22105,25,10,0.5,0.75,22,0.09509355882352948
0.20833333333333326,0.25655,25,10,0.5,0.75,23,0.09509355882352948
0.41666666666666674,0.21965,25,10,0.5,0.75,24,0.09509355882352948
0.16666666666666674,0.2029,25,10,0.5,0.75,25,0.09509355882352948
0.16666666666666663,0.2103,25,10,0.5,0.75,26,0.09509355882352948
0.20833333333333326,0.1843,25,10,0.5,0.75,27,0.09509355882352948
0.16666666666666663,0.17435,25,10,0.5,0.75,28,0.09509355882352948
0.20833333333333337,0.2115,25,10,0.5,0.75,29,0.09509355882352948
0.08333333333333326,0.29385,25,10,0.5,0.75,30,0.09509355882352948
0.20833333333333326,0.20925,25,10,0.5,0.75,31,0.09509355882352948
0.375,0.2072,25,10,0.5,0.75,32,0.09509355882352948
0.29166666666666663,0.2154,25,10,0.5,0.75,33,0.09509355882352948
0.25,0.17275,25,10,0.5,0.75,34,0.09509355882352948
0.29166666666666663,0.22225,25,10,0.5,0.75,35,0.09509355882352948
0.25,0.1963,25,10,0.5,0.75,36,0.09509355882352948
0.29166666666666674,0.20895,25,10,0.5,0.75,37,0.09509355882352948
0.12499999999999989,0.25705,25,10,0.5,0.75,38,0.09509355882352948
0.125,0.1814,25,10,0.5,0.75,39,0.09509355882352948
0.12499999999999989,0.2054,25,10,0.5,0.75,40,0.09509355882352948
0.29166666666666663,0.18745,25,10,0.5,0.75,41,0.09509355882352948
0.25,0.19085,25,10,0.5,0.75,42,0.09509355882352948
0.08333333333333326,0.24245,25,10,0.5,0.75,43,0.09509355882352948
0.08333333333333337,0.1982,25,10,0.5,0.75,44,0.09509355882352948
0.125,0.2046,25,10,0.5,0.75,45,0.09509355882352948
0.29166666666666663,0.18485,25,10,0.5,0.75,46,0.09509355882352948
0.33333333333333337,0.1931,25,10,0.5,0.75,47,0.09509355882352948
0.29166666666666663,0.2142,25,10,0.5,0.75,48,0.09509355882352948
0.20833333333333326,0.19825,25,10,0.5,0.75,49,0.09509355882352948
0.20833333333333326,0.21835,25,10,0.5,0.75,50,0.09509355882352948
0.20833333333333337,0.1699,25,10,0.5,0.75,51,0.09509355882352948
0.20833333333333337,0.2187,25,10,0.5,0.75,52,0.09509355882352948
0.29166666666666663,0.22565,25,10,0.5,0.75,53,0.09509355882352948
0.16666666666666663,0.2273,25,10,0.5,0.75,54,0.09509355882352948
0.25,0.2133,25,10,0.5,0.75,55,0.09509355882352948
0.41666666666666674,0.19215,25,10,0.5,0.75,56,0.09509355882352948
0.25,0.21495,25,10,0.5,0.75,57,0.09509355882352948
0.16666666666666674,0.2083,25,10,0.5,0.75,58,0.09509355882352948
0.41666666666666663,0.2263,25,10,0.5,0.75,59,0.09509355882352948
0.25,0.1889,25,10,0.5,0.75,60,0.09509355882352948
0.41666666666666663,0.22815,25,10,0.5,0.75,61,0.09509355882352948
0.04166666666666663,0.22725,25,10,0.5,0.75,62,0.09509355882352948
0.33333333333333337,0.1777,25,10,0.5,0.75,63,0.09509355882352948
0.29166666666666663,0.1841,25,10,0.5,0.75,64,0.09509355882352948
0.25,0.1999,25,10,0.5,0.75,65,0.09509355882352948
0.29166666666666663,0.2253,25,10,0.5,0.75,66,0.09509355882352948
0.20833333333333337,0.20815,25,10,0.5,0.75,67,0.09509355882352948
0.04166666666666663,0.2388,25,10,0.5,0.75,68,0.09509355882352948
0,0.2903,25,10,0.5,0.75,69,0.09509355882352948
0.125,0.1918,25,10,0.5,0.75,70,0.09509355882352948
0.12499999999999989,0.24055,25,10,0.5,0.75,71,0.09509355882352948
0.20833333333333326,0.1692,25,10,0.5,0.75,72,0.09509355882352948
0.16666666666666663,0.1965,25,10,0.5,0.75,73,0.09509355882352948
0.3750000000000001,0.23185,25,10,0.5,0.75,74,0.09509355882352948
0.375,0.22425,25,10,0.5,0.75,75,0.09509355882352948
0.2499999999999999,0.2037,25,10,0.5,0.75,76,0.09509355882352948
0.20833333333333326,0.219,25,10,0.5,0.75,77,0.09509355882352948
0.33333333333333337,0.22845,25,10,0.5,0.75,78,0.09509355882352948
0.375,0.25575,25,10,0.5,0.75,79,0.09509355882352948
0.20833333333333326,0.18525,25,10,0.5,0.75,80,0.09509355882352948
0.08333333333333326,0.18065,25,10,0.5,0.75,81,0.09509355882352948
0.29166666666666674,0.25725,25,10,0.5,0.75,82,0.09509355882352948
0.16666666666666663,0.17535,25,10,0.5,0.75,83,0.09509355882352948
0.16666666666666663,0.2138,25,10,0.5,0.75,84,0.09509355882352948
0.25,0.17055,25,10,0.5,0.75,85,0.09509355882352948
0.20833333333333337,0.27455,25,10,0.5,0.75,86,0.09509355882352948
0.12499999999999989,0.19485,25,10,0.5,0.75,87,0.09509355882352948
