err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.7916666666666667,0.50205,10,10,0.5,0,40,0.49988994117647056
0.29166666666666674,0.50645,10,10,0.5,0,41,0.49988994117647056
0.625,0.4964,10,10,0.5,0,42,0.49988994117647056
0.7083333333333334,0.50225,10,10,0.5,0,43,0.49988994117647056
0.375,0.50265,10,10,0.5,0,44,0.49988994117647056
0.3125,0.49635,10,10,0.5,0,45,0.49988994117647056
0.9166666666666666,0.49905,10,10,0.5,0,46,0.49988994117647056
1,0.49345,10,10,0.5,0,47,0.49988994117647056
0.625,0.4932,10,10,0.5,0,48,0.49988994117647056
0.75,0.49715,10,10,0.5,0,49,0.49988994117647056
0.625,0.4982,10,10,0.5,0,50,0.49988994117647056
0.9166666666666666,0.49735,10,10,0.5,0,51,0.49988994117647056
0.625,0.49775,10,10,0.5,0,52,0.49988994117647056
0.8333333333333334,0.50285,10,10,0.5,0,53,0.49988994117647056
0.7083333333333334,0.50315,10,10,0.5,0,54,0.49988994117647056
0.41666666666666674,0.50645,10,10,0.5,0,55,0.49988994117647056
0.7083333333333334,0.4976,10,10,0.5,0,56,0.49988994117647056
0.9166666666666666,0.50145,10,10,0.5,0,57,0.49988994117647056
0.1875,0.5005,10,10,0.5,0,58,0.49988994117647056
0.3125,0.49685,10,10,0.5,0,59,0.49988994117647056
0.5833333333333334,0.49965,10,10,0.5,0,60,0.49988994117647056
0.6666666666666667,0.4991,10,10,0.5,0,61,0.49988994117647056
0.6666666666666667,0.50505,10,10,0.5,0,62,0.49988994117647056
0.875,0.50445,10,10,0.5,0,63,0.49988994117647056
0.375,0.4993,10,10,0.5,0,64,0.49988994117647056
0.375,0.49975,10,10,0.5,0,65,0.49988994117647056
0.41666666666666674,0.50585,10,10,0.5,0,66,0.49988994117647056
0.6666666666666667,0.5024,10,10,0.5,0,67,0.49988994117647056
0.5625,0.49835,10,10,0.5,0,68,0.49988994117647056
0.4375,0.50035,10,10,0.5,0,69,0.49988994117647056
0.75,0.4987,10,10,0.5,0,70,0.49988994117647056
0.33333333333333337,0.4993,10,10,0.5,0,71,0.49988994117647056
0.375,0.4944,10,10,0.5,0,72,0.49988994117647056
0,0.4997,10,10,0.5,0,73,0.49988994117647056
0.375,0.4984,10,10,0.5,0,74,0.49988994117647056
