err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.5654761904761905,0.43595,25,10,0.5,0.75,19,0.28037073529411766
0.5654761904761905,0.36175,25,10,0.5,0.75,20,0.28037073529411766
0.44047619047619047,0.35745,25,10,0.5,0.75,21,0.28037073529411766
0.4761904761904763,0.4217,25,10,0.5,0.75,22,0.28037073529411766
0.5535714285714286,0.43455,25,10,0.5,0.75,23,0.28037073529411766
0.48809523809523814,0.4394,25,10,0.5,0.75,24,0.28037073529411766
0.2857142857142857,0.35665,25,10,0.5,0.75,25,0.28037073529411766
0.27976190476190477,0.33355,25,10,0.5,0.75,26,0.28037073529411766
0.36904761904761907,0.35285,25,10,0.5,0.75,27,0.28037073529411766
0.5595238095238095,0.47235,25,10,0.5,0.75,28,0.28037073529411766
0.2321428571428572,0.39125,25,10,0.5,0.75,29,0.28037073529411766
0.47023809523809523,0.37805,25,10,0.5,0.75,30,0.28037073529411766
0.2857142857142857,0.3556,25,10,0.5,0.75,31,0.28037073529411766
0.3214285714285714,0.3749,25,10,0.5,0.75,32,0.28037073529411766
0.3928571428571429,0.38715,25,10,0.5,0.75,33,0.28037073529411766
0.39880952380952384,0.34145,25,10,0.5,0.75,34,0.28037073529411766
0.5238095238095238,0.45795,25,10,0.5,0.75,35,0.28037073529411766
0.3214285714285715,0.41505,25,10,0.5,0.75,36,0.28037073529411766
0.6785714285714286,0.45755,25,10,0.5,0.75,37,0.28037073529411766
0.5238095238095238,0.38105,25,10,0.5,0.75,38,0.28037073529411766
0.20238095238095244,0.38095,25,10,0.5,0.75,39,0.28037073529411766
0.5714285714285714,0.4331,25,10,0.5,0.75,40,0.28037073529411766
0.6071428571428572,0.4374,25,10,0.5,0.75,41,0.28037073529411766
0.3928571428571429,0.38515,25,10,0.5,0.75,42,0.28037073529411766
0.36904761904761907,0.4711,25,10,0.5,0.75,43,0.28037073529411766
0.31547619047619047,0.3507,25,10,0.5,0.75,44,0.28037073529411766
0.2738095238095237,0.36595,25,10,0.5,0.75,45,0.28037073529411766
0.43452380952380965,0.4046,25,10,0.5,0.75,46,0.28037073529411766
0.39880952380952384,0.43435,25,10,0.5,0.75,47,0.28037073529411766
0.47023809523809523,0.4334,25,10,0.5,0.75,48,0.28037073529411766
0.5952380952380952,0.4393,25,10,0.5,0.75,49,0.28037073529411766
0.47619047619047616,0.37305,25,10,0.5,0.75,50,0.28037073529411766
0.47023809523809523,0.36805,25,10,0.5,0.75,51,0.28037073529411766
0.363095238095238,0.3644,25,10,0.5,0.75,52,0.28037073529411766
0.6488095238095238,0.44035,25,10,0.5,0.75,53,0.28037073529411766
0.40476190476190477,0.4557,25,10,0.5,0.75,54,0.28037073529411766
0.3928571428571429,0.40895,25,10,0.5,0.75,55,0.28037073529411766
0.31547619047619047,0.3669,25,10,0.5,0.75,56,0.28037073529411766
0.3571428571428572,0.4134,25,10,0.5,0.75,57,0.28037073529411766
0.363095238095238,0.34125,25,10,0.5,0.75,58,0.28037073529411766
0.34523809523809523,0.3656,25,10,0.5,0.75,59,0.28037073529411766
0.44047619047619047,0.4505,25,10,0.5,0.75,60,0.28037073529411766
